Lon,Lat,Bias,Weighted Average
-118.9737800000000,33.99829900000000,-0.2968411400000000,9.420945115095128
-118.9789300000000,33.97942400000000,-0.2846255300000000,9.434963565856101
-118.9850100000000,33.95711400000000,-0.2822437300000000,9.408176864562339
-118.9911000000000,33.93480700000000,-0.3089809400000000,9.449313849782326
-118.9971800000000,33.91249900000000,-0.3199529600000000,9.490946994333321
-119.0032500000000,33.89019400000000,-0.2757091500000000,9.455941585238831
-119.0093300000000,33.86788600000000,-0.2573108700000000,9.482692775046653
-119.0156300000000,33.84472000000000,-0.3382515900000000,9.465992110608555
-119.0217000000000,33.82241100000000,-0.3211894000000000,9.497118751864315
-119.0277700000000,33.80010200000000,-0.2891616800000000,9.418037809470206
-119.0338400000000,33.77779600000000,-0.2357850100000000,9.392462615860127
-119.0399100000000,33.75549100000000,-0.2709183700000000,9.359300058873291
-119.0459800000000,33.73318100000000,-0.2483034100000000,9.330654596621010
-119.0494700000000,33.72030800000000,-0.2326941500000000,9.320664540340454
-119.0525000000000,33.70915100000000,-0.2200160000000000,9.350252640162998
-119.0580900000000,33.68855600000000,-0.2326941500000000,9.303726415898408
-119.0641300000000,33.66624900000000,-0.2642564800000000,9.310340868449464
-119.0699500000000,33.64479500000000,-0.2556839000000000,9.261100689308956
-119.0759900000000,33.62248400000000,-0.2361397700000000,9.238717770134064
-119.0820400000000,33.60017400000000,-0.2292861900000000,9.207217523838088
-119.0880900000000,33.57786100000000,-0.2316894500000000,9.157126664066340
-119.0941400000000,33.55555900000000,-0.2388882600000000,9.138073844631524
-119.1001800000000,33.53324900000000,-0.2195243800000000,9.086621904346345
-119.1062200000000,33.51094200000000,-0.1880464600000000,9.057330498454704
-119.1122600000000,33.48863200000000,-0.1902475400000000,9.026622804260008
-119.1182900000000,33.46632200000000,-0.2111754400000000,9.018338404076561
-119.1243300000000,33.44401200000000,-0.2137575100000000,8.993298898480644
-119.1303600000000,33.42169700000000,-0.2088313100000000,8.990371084294459
-119.1363900000000,33.39938400000000,-0.2040429100000000,8.996319980870979
-119.1421900000000,33.37793200000000,-0.2268023500000000,8.960603294870754
-119.1482100000000,33.35562000000000,-0.2868742900000000,8.950380567436232
-119.1542400000000,33.33331000000000,-0.2822437300000000,8.974654043458841
-119.1602500000000,33.31100000000000,-0.2654461900000000,8.970180742598879
-119.1648800000000,33.29383800000000,-0.2682714500000000,8.983157020516105
-119.1678900000000,33.28268200000000,-0.2516741800000000,8.973103124044295
-119.1722800000000,33.26637800000000,-0.2130689600000000,8.938491266176252
-119.1783000000000,33.24406500000000,-0.2148113300000000,8.927578975794507
-119.1840800000000,33.22260900000000,-0.2263760600000000,8.881774323479927
-119.1900900000000,33.20029700000000,-0.2472634300000000,8.928510219900652
-119.1961100000000,33.17798800000000,-0.2659416200000000,8.880545999282207
-119.2021200000000,33.15567700000000,-0.2401809700000000,8.848005865612389
-119.2081200000000,33.13336300000000,-0.2593050000000000,8.849476478755580
-119.2138900000000,33.11190800000000,-0.2605538400000000,8.848961503481505
-119.2198900000000,33.08959200000000,-0.2664823500000000,8.829730526841892
-119.2258900000000,33.06727300000000,-0.2669935200000000,8.833817090905631
-119.2318800000000,33.04495400000000,-0.2988114400000000,8.802983587576261
-119.2378700000000,33.02263800000000,-0.2677655200000000,8.806098018638911
-119.2436300000000,33.00117800000000,-0.2623686800000000,8.789859406669077
-119.2496100000000,32.97886000000000,-0.2516446100000000,8.797248909166321
-119.2555900000000,32.95654300000000,-0.2799511000000000,8.795197682215454
-119.2615800000000,32.93422500000000,-0.2774004900000000,8.816134755486583
-119.2673300000000,32.91276600000000,-0.2758698500000000,8.780436269166533
-119.2733100000000,32.89044900000000,-0.2763795900000000,8.798740787594991
-119.2788300000000,32.86984900000000,-0.2728061700000000,8.817780986266861
-119.2818200000000,32.85869100000000,-0.2923846200000000,8.793267990268891
-119.2852600000000,32.84581400000000,-0.2864775700000000,8.812466360964912
-119.2910000000000,32.82435300000000,-0.2900567100000000,8.836999322407390
-119.2969700000000,32.80203300000000,-0.2571091700000000,8.863080171288095
-119.3029400000000,32.77971400000000,-0.2509636900000000,8.826890735092178
-119.3089000000000,32.75739600000000,-0.2555708900000000,8.810955135950588
-119.3146300000000,32.73593500000000,-0.2556610100000000,8.780620002372832
-119.3205900000000,32.71361400000000,-0.2493081100000000,8.825521177611066
-119.3265400000000,32.69129700000000,-0.2331419000000000,8.796618760670235
-119.3325000000000,32.66897800000000,-0.2599668500000000,8.800864726681533
-119.3382300000000,32.64751900000000,-0.2298646000000000,8.789432027797608
-119.3441900000000,32.62520100000000,-0.2198162100000000,8.766671094123232
-119.3501500000000,32.60288000000000,-0.2234087000000000,8.734938044584672
-119.3558700000000,32.58141700000000,-0.2242322000000000,8.692930131487017
-119.3618200000000,32.55909400000000,-0.2395906400000000,8.638129727627549
-119.3677600000000,32.53677200000000,-0.2372412700000000,8.601387273536187
-119.3737000000000,32.51445000000000,-0.2196235700000000,8.561099825803204
-119.3794100000000,32.49298500000000,-0.2324276000000000,8.556264903796492
-119.3853500000000,32.47066500000000,-0.2346806500000000,8.556461609463455
-119.3912900000000,32.44834400000000,-0.2264809600000000,8.554240373310492
-119.3976800000000,32.42430200000000,-0.2185959800000000,8.553065902598094
-119.3947100000000,32.43546600000000,-0.2006487800000000,8.553407115625431
-119.4029300000000,32.40455800000000,-0.2170567500000000,8.550186088970369
-119.4088500000000,32.38223700000000,-0.2319164300000000,8.545388958688520
-119.4145500000000,32.36077100000000,-0.2105097800000000,8.542812664916427
